publishedAt,title,description,source,full_text,label,score,final_score,Driver
2026-04-01T05:00:11Z,Pops of bright red decorate Ferrari's flagship fashion store in London,Design studio Formafantasma and architecture firm Gonzalez Haase AAS worked with carmaker Ferrari to create the interiors of the London flagship store for its fashion brand. Read more,"{'id': None, 'name': 'Dezeen'}",Pops of bright red decorate Ferrari's flagship fashion store in London Design studio Formafantasma and architecture firm Gonzalez Haase AAS worked with carmaker Ferrari to create the interiors of the London flagship store for its fashion brand. Read more,POSITIVE,0.9976523518562317,0.9976523518562317,General / Other
2026-04-15T05:00:43Z,"""Timeless futurism"" defines Hong Kong cocktail bar by Studio Paolo Ferrari","Over 20,000 tiny lights glow across this lime-green bar by Toronto-based Studio Paolo Ferrari, located at the top of Zaha Hadid Architects' The Henderson in Hong Kong. Read more","{'id': None, 'name': 'Dezeen'}","""Timeless futurism"" defines Hong Kong cocktail bar by Studio Paolo Ferrari Over 20,000 tiny lights glow across this lime-green bar by Toronto-based Studio Paolo Ferrari, located at the top of Zaha Hadid Architects' The Henderson in Hong Kong. Read more",POSITIVE,0.9987475872039795,0.9987475872039795,General / Other
2026-04-06T16:47:42Z,The new F1 rule which makes Antonelli expect Ferrari to close in on Mercedes,Formula 1’s 2026 regulations have largely met expectations as Mercedes has been the dominant team with Ferrari and McLaren being its closest challengers. The Silver Arrows has won every grand prix from pole and Kimi Antonelli leads George Russell at the top o…,"{'id': None, 'name': 'autosport.com'}",The new F1 rule which makes Antonelli expect Ferrari to close in on Mercedes Formula 1’s 2026 regulations have largely met expectations as Mercedes has been the dominant team with Ferrari and McLaren being its closest challengers. The Silver Arrows has won every grand prix from pole and Kimi Antonelli leads George Russell at the top o…,POSITIVE,0.9961020946502686,0.9961020946502686,General / Other
2026-03-28T10:54:00Z,F1: Chequered Flag,Who would prevail in the pole shootout at the Japanese GP?,"{'id': 'bbc-news', 'name': 'BBC News'}",F1: Chequered Flag Who would prevail in the pole shootout at the Japanese GP?,NEGATIVE,0.9945712685585022,-0.9945712685585022,General / Other
2026-04-07T20:30:22Z,This Luxury Italian Watch Has a Triple-Axis Tourbillon and Looks Like a Ferrari Dashboard,"This Luxury Italian Watch Has a Triple-Axis Tourbillon and Looks Like a Ferrari DashboardOld sports cars had analog instrument clusters that told you everything through three or four circular gauges mounted in brushed metal housings, each dial showing...","{'id': None, 'name': 'Yanko Design'}","This Luxury Italian Watch Has a Triple-Axis Tourbillon and Looks Like a Ferrari Dashboard This Luxury Italian Watch Has a Triple-Axis Tourbillon and Looks Like a Ferrari DashboardOld sports cars had analog instrument clusters that told you everything through three or four circular gauges mounted in brushed metal housings, each dial showing...",NEGATIVE,0.9947053790092468,-0.9947053790092468,General / Other
2026-03-31T22:30:04Z,Life-sized LEGO Ferrari 12Cilindri Spider has a naturally aspirated V12 engine and working headlights,Life-sized LEGO Ferrari 12Cilindri Spider has a naturally aspirated V12 engine and working headlightsYou can keep all the LEGO builds on one side and the life-sized version on the other; the latter will always be more impressive. The...,"{'id': None, 'name': 'Yanko Design'}",Life-sized LEGO Ferrari 12Cilindri Spider has a naturally aspirated V12 engine and working headlights Life-sized LEGO Ferrari 12Cilindri Spider has a naturally aspirated V12 engine and working headlightsYou can keep all the LEGO builds on one side and the life-sized version on the other; the latter will always be more impressive. The...,POSITIVE,0.9972941279411316,0.9972941279411316,General / Other
2026-04-04T00:30:18Z,A Ferrari-Inspired Speaker That Turns Motion Into Light and Sound,"A Ferrari-Inspired Speaker That Turns Motion Into Light and SoundSome objects simply exist in a space, while others carry a presence even before they are used. ROSSO belongs firmly in the latter. It does...","{'id': None, 'name': 'Yanko Design'}","A Ferrari-Inspired Speaker That Turns Motion Into Light and Sound A Ferrari-Inspired Speaker That Turns Motion Into Light and SoundSome objects simply exist in a space, while others carry a presence even before they are used. ROSSO belongs firmly in the latter. It does...",POSITIVE,0.9977559447288513,0.9977559447288513,General / Other
2026-03-26T13:22:00Z,F1: Chequered Flag,Can anyone stop Mercedes as we head to the Suzuka Circuit for the Japanese Grand Prix?,"{'id': 'bbc-news', 'name': 'BBC News'}",F1: Chequered Flag Can anyone stop Mercedes as we head to the Suzuka Circuit for the Japanese Grand Prix?,NEGATIVE,0.9969512224197388,-0.9969512224197388,General / Other
2026-04-07T16:50:38Z,Desder D001 Watch,"Ferrari, Maserati, and Lamborghini all came from the same stretch of northern Italy known as Motor Valley, where machine engineering was elevated to an art form. A new independent watch brand from the same terrain applies the same spirit to...","{'id': None, 'name': 'Uncrate.com'}","Desder D001 Watch Ferrari, Maserati, and Lamborghini all came from the same stretch of northern Italy known as Motor Valley, where machine engineering was elevated to an art form. A new independent watch brand from the same terrain applies the same spirit to...",POSITIVE,0.9837216734886169,0.9837216734886169,General / Other
2026-04-18T13:37:53Z,The work going on in Maranello keeping Ferrari flat out in F1’s April break,"In Formula 1, time is everything. Not just the time ticking away on the stopwatch, but also the time needed to design, develop and refine. It is the invisible factor that separates success from failure. The teams are constantly racing against the clock: every…","{'id': None, 'name': 'autosport.com'}","The work going on in Maranello keeping Ferrari flat out in F1’s April break In Formula 1, time is everything. Not just the time ticking away on the stopwatch, but also the time needed to design, develop and refine. It is the invisible factor that separates success from failure. The teams are constantly racing against the clock: every…",POSITIVE,0.9900608062744141,0.9900608062744141,General / Other
2026-03-19T09:22:26Z,Why Ferrari believes F1 engine rules tweak won't stop Mercedes,"From 1 June, new FIA tests for Formula 1 engines mean Mercedes’compression ratio loophole will be closed – but it may not be sufficient for Ferrari to catch up.As the world championship switched to new power units for 2026, the internal combustion engine’s co…","{'id': None, 'name': 'autosport.com'}","Why Ferrari believes F1 engine rules tweak won't stop Mercedes From 1 June, new FIA tests for Formula 1 engines mean Mercedes’compression ratio loophole will be closed – but it may not be sufficient for Ferrari to catch up.As the world championship switched to new power units for 2026, the internal combustion engine’s co…",NEGATIVE,0.9985312223434448,-0.9985312223434448,General / Other
2026-03-30T17:00:10Z,Tampa Bay Rays replace Tropicana Field roof after 2024 hurricane,"The Tampa Bay Rays professional baseball franchise is debuting a restored roof on its St Petersburg ballpark in time for the 2026 MLB season home opener in Florida. Over 100,000 pounds of fibreglass membrane have replaced the roof of Tropicana Field, which wa…","{'id': None, 'name': 'Dezeen'}","Tampa Bay Rays replace Tropicana Field roof after 2024 hurricane The Tampa Bay Rays professional baseball franchise is debuting a restored roof on its St Petersburg ballpark in time for the 2026 MLB season home opener in Florida. Over 100,000 pounds of fibreglass membrane have replaced the roof of Tropicana Field, which wa…",POSITIVE,0.7494449615478516,0.7494449615478516,General / Other
2026-04-09T08:37:06Z,What do you think is the most beautiful F1 car of all time?,"Choose what you think is the best-looking F1 car in history from our shortlist of 13, spanning the 1950s to 2025.","{'id': None, 'name': 'BBC News'}","What do you think is the most beautiful F1 car of all time? Choose what you think is the best-looking F1 car in history from our shortlist of 13, spanning the 1950s to 2025.",POSITIVE,0.9998156428337097,0.9998156428337097,General / Other
2026-04-05T17:20:17Z,Someone Turned the “Cat Knocking Things Off Tables” Meme Into a 3D Printed Lamp and It’s Perfect,"Someone Turned the “Cat Knocking Things Off Tables” Meme Into a 3D Printed Lamp and It’s PerfectCats knocking things off tables is old internet. It predates memes as a concept, predates YouTube, predates the entire visual language of digital humor. It...","{'id': None, 'name': 'Yanko Design'}","Someone Turned the “Cat Knocking Things Off Tables” Meme Into a 3D Printed Lamp and It’s Perfect Someone Turned the “Cat Knocking Things Off Tables” Meme Into a 3D Printed Lamp and It’s PerfectCats knocking things off tables is old internet. It predates memes as a concept, predates YouTube, predates the entire visual language of digital humor. It...",NEGATIVE,0.9899175763130188,-0.9899175763130188,General / Other
2026-03-28T03:58:30Z,F1 Japanese GP: Mercedes takes 1-2 as Antonelli fastest in FP3,"Mercedes F1 driver Kimi Antonelli has headed team-mate George Russell in final practice at the Japanese Grand Prix.Russell was unable to top Antonelli's final quarter lap in the W17 as Mercedes heads to qualifying as the clear favourites, leading FP3 by a hug…","{'id': None, 'name': 'autosport.com'}","F1 Japanese GP: Mercedes takes 1-2 as Antonelli fastest in FP3 Mercedes F1 driver Kimi Antonelli has headed team-mate George Russell in final practice at the Japanese Grand Prix.Russell was unable to top Antonelli's final quarter lap in the W17 as Mercedes heads to qualifying as the clear favourites, leading FP3 by a hug…",NEGATIVE,0.7588520050048828,-0.7588520050048828,General / Other
2026-03-28T07:18:45Z,Antonelli beats Russell to Japanese Grand Prix pole,Kimi Antonelli takes his second pole position in a row as he beats Mercedes team-mate George Russell in qualifying at the Japanese Grand Prix.,"{'id': None, 'name': 'BBC News'}",Antonelli beats Russell to Japanese Grand Prix pole Kimi Antonelli takes his second pole position in a row as he beats Mercedes team-mate George Russell in qualifying at the Japanese Grand Prix.,POSITIVE,0.999140739440918,0.999140739440918,General / Other
2026-03-31T06:03:10Z,Is Verstappen's threat to quit a lever to alter rules? - F1 Q&A,BBC Sport F1 correspondent Andrew Benson answers your questions after the Japanese Grand Prix.,"{'id': None, 'name': 'BBC News'}",Is Verstappen's threat to quit a lever to alter rules? - F1 Q&A BBC Sport F1 correspondent Andrew Benson answers your questions after the Japanese Grand Prix.,NEGATIVE,0.984631359577179,-0.984631359577179,Verstappen
2026-03-28T07:20:08Z,"F1 Japanese GP: Antonelli on pole again, Verstappen out in Q2","Kimi Antonelli grabbed his second career Formula 1 pole position at the Japanese Grand Prix, also his second in a row, as Max Verstappen was eliminated in Q2.Antonelli enforced his dominance on Mercedes team-mate George Russell so far this weekend, with the I…","{'id': None, 'name': 'autosport.com'}","F1 Japanese GP: Antonelli on pole again, Verstappen out in Q2 Kimi Antonelli grabbed his second career Formula 1 pole position at the Japanese Grand Prix, also his second in a row, as Max Verstappen was eliminated in Q2.Antonelli enforced his dominance on Mercedes team-mate George Russell so far this weekend, with the I…",POSITIVE,0.9972346425056458,0.9972346425056458,Verstappen
2026-03-22T10:16:33Z,How F1 became a multi-billion dollar industry,"A well-known cynical joke which has circulated in the paddock for decades goes: if you want to become a millionaire in Formula 1, you should start out as a billionaire. It perfectly captures the capital-intensive, money-draining nature of the series – at leas…","{'id': None, 'name': 'autosport.com'}","How F1 became a multi-billion dollar industry A well-known cynical joke which has circulated in the paddock for decades goes: if you want to become a millionaire in Formula 1, you should start out as a billionaire. It perfectly captures the capital-intensive, money-draining nature of the series – at leas…",POSITIVE,0.9958652257919312,0.9958652257919312,General / Other
2026-03-27T17:22:23Z,Suzuka transformed as F1 drivers barely brake through the Esses,"The new-generation of Formula 1 cars have changed how Suzuka’s first sector is tackled: beyond the reduced downforce, which lowers cornering speeds, drivers now barely touch the brake pedal, because the hybrid system decelerates the car through transitions to…","{'id': None, 'name': 'autosport.com'}","Suzuka transformed as F1 drivers barely brake through the Esses The new-generation of Formula 1 cars have changed how Suzuka’s first sector is tackled: beyond the reduced downforce, which lowers cornering speeds, drivers now barely touch the brake pedal, because the hybrid system decelerates the car through transitions to…",POSITIVE,0.9005114436149597,0.9005114436149597,General / Other
2026-04-17T14:29:54Z,Russell 'would understand' if Verstappen leaves F1,"George Russell says Formula 1 ""would not want to lose"" Max Verstappen - but would ""understand"" if the four-time world champion decided to leave the sport.","{'id': None, 'name': 'BBC News'}","Russell 'would understand' if Verstappen leaves F1 George Russell says Formula 1 ""would not want to lose"" Max Verstappen - but would ""understand"" if the four-time world champion decided to leave the sport.",NEGATIVE,0.9939541220664978,-0.9939541220664978,Verstappen
2026-04-12T20:44:02Z,1:1 Scale Ferrari SF-25 Display Model,"This 1:1-scale model was built to resemble a Ferrari SF Formula One car driven by Lewis Hamilton and features fiberglass construction. It wears a red, white, and yellow livery and features red-finished wheels, Pirelli P Zero racing slicks, a Sabelt-style harn…","{'id': None, 'name': 'Bringatrailer.com'}","1:1 Scale Ferrari SF-25 Display Model This 1:1-scale model was built to resemble a Ferrari SF Formula One car driven by Lewis Hamilton and features fiberglass construction. It wears a red, white, and yellow livery and features red-finished wheels, Pirelli P Zero racing slicks, a Sabelt-style harn…",NEGATIVE,0.9745959043502808,-0.9745959043502808,Hamilton
2026-03-20T19:40:51Z,New Study Highlights Carbon Fiber Weakness That Sounds All Too Familiar After Titan Fiasco,"Researchers planned to test how carbon fiber reacted to intense heat and humidity, but they found out something else entirely.","{'id': None, 'name': 'Gizmodo.com'}","New Study Highlights Carbon Fiber Weakness That Sounds All Too Familiar After Titan Fiasco Researchers planned to test how carbon fiber reacted to intense heat and humidity, but they found out something else entirely.",NEGATIVE,0.9922131896018982,-0.9922131896018982,General / Other
2026-03-31T16:08:02Z,Is Antonelli now the 2026 F1 title favourite?,"Betteridge's law of headlines dictates that any headline phrased as a question can be answered with a hard ‘no', and disregarded. Certainly a cursory perusal of the odds being offered by various bookmakers reveals that long-time favourite George Russell remai…","{'id': None, 'name': 'autosport.com'}","Is Antonelli now the 2026 F1 title favourite? Betteridge's law of headlines dictates that any headline phrased as a question can be answered with a hard ‘no', and disregarded. Certainly a cursory perusal of the odds being offered by various bookmakers reveals that long-time favourite George Russell remai…",NEGATIVE,0.5657045245170593,-0.5657045245170593,General / Other
2026-03-26T11:25:43Z,"""Anything good is kind of costly"" says Marc Newson","Forty years ago, Marc Newson designed what would become the most expensive work ever sold at auction by a living designer. In this interview, he reflects on affordability, collectible design and current projects, including Ferrari's first electric car. Newson…","{'id': None, 'name': 'Dezeen'}","""Anything good is kind of costly"" says Marc Newson Forty years ago, Marc Newson designed what would become the most expensive work ever sold at auction by a living designer. In this interview, he reflects on affordability, collectible design and current projects, including Ferrari's first electric car. Newson…",POSITIVE,0.9944637417793274,0.9944637417793274,General / Other
2026-03-23T10:19:47Z,How Antonelli plans to attack F1 season with title challenge in sight,"Formula 1's latest winner was greeted with a standing ovation: nobody knew Kimi Antonelli would be there, but he wanted to be there before rushing to Bologna airport to depart for Japan.Over 300 fans gathered in the Checco Costa room at Imola for an event org…","{'id': None, 'name': 'autosport.com'}","How Antonelli plans to attack F1 season with title challenge in sight Formula 1's latest winner was greeted with a standing ovation: nobody knew Kimi Antonelli would be there, but he wanted to be there before rushing to Bologna airport to depart for Japan.Over 300 fans gathered in the Checco Costa room at Imola for an event org…",POSITIVE,0.9921884536743164,0.9921884536743164,General / Other
2026-04-05T23:55:12Z,8k-Mile 1999 Ferrari 355 F1 Spider,"This Rosso Corsa 1999 Ferrari F355 Spider remained under the care of its original owner until 2023, when it spent time in the United Kingdom and was purchased by the current owner. Its 3.5-liter DOHC V8 subsequently received a timing belt service before reloc…","{'id': None, 'name': 'Bringatrailer.com'}","8k-Mile 1999 Ferrari 355 F1 Spider This Rosso Corsa 1999 Ferrari F355 Spider remained under the care of its original owner until 2023, when it spent time in the United Kingdom and was purchased by the current owner. Its 3.5-liter DOHC V8 subsequently received a timing belt service before reloc…",NEGATIVE,0.9942476749420166,-0.9942476749420166,General / Other
2026-04-09T08:23:59Z,Verstappen race engineer Lambiase to join McLaren,"Red Bull's Gianpiero Lambiase, Max Verstappen's race engineer, agrees to join McLaren from 2028.","{'id': None, 'name': 'BBC News'}","Verstappen race engineer Lambiase to join McLaren Red Bull's Gianpiero Lambiase, Max Verstappen's race engineer, agrees to join McLaren from 2028.",POSITIVE,0.9951062202453613,0.9951062202453613,Verstappen
2026-04-12T16:42:20Z,The three clues to the F1 start problem Antonelli is aiming to solve,"""He's going to kick my butt because of the start. I deserve that,” is what Kimi Antonelli said in response to his major area to improve within his dream start to 2026, in which the entire month of April – in part due to the cancellations of the Bahrain and Sa…","{'id': None, 'name': 'autosport.com'}","The three clues to the F1 start problem Antonelli is aiming to solve ""He's going to kick my butt because of the start. I deserve that,” is what Kimi Antonelli said in response to his major area to improve within his dream start to 2026, in which the entire month of April – in part due to the cancellations of the Bahrain and Sa…",NEGATIVE,0.7426553964614868,-0.7426553964614868,General / Other
2026-03-29T09:46:35Z,"Quick hits: F1 driver limps from crash, teenager sets more records",Oliver Bearman limped away from a big crash after he needed to take evasive action. Here are the quick hits from the F1 Japanese Grand Prix.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}","Quick hits: F1 driver limps from crash, teenager sets more records Oliver Bearman limped away from a big crash after he needed to take evasive action. Here are the quick hits from the F1 Japanese Grand Prix.",NEGATIVE,0.9989799857139587,-0.9989799857139587,General / Other
2026-04-09T14:40:20Z,2004 Ferrari 360 Spider,"This 2004 Ferrari 360 Spider has remained registered in Arizona and California since new, and it was purchased in 2009 by the current owner, who has since added ~34k of its 49k miles. Powered by a 3.6-liter V8 paired with a six-speed F1 sequential transaxle a…","{'id': None, 'name': 'Bringatrailer.com'}","2004 Ferrari 360 Spider This 2004 Ferrari 360 Spider has remained registered in Arizona and California since new, and it was purchased in 2009 by the current owner, who has since added ~34k of its 49k miles. Powered by a 3.6-liter V8 paired with a six-speed F1 sequential transaxle a…",POSITIVE,0.9282242059707642,0.9282242059707642,General / Other
2026-03-20T17:00:04Z,1999 Ferrari 360 Modena,"This 1999 Ferrari 360 Modena remained registered in California until 2025, and it has 51k miles following the seller's purchase in 2024. Finished in Argento Nurburgring with a partial black vinyl wrap, the car is powered by a 3.6-liter V8 paired with a six-sp…","{'id': None, 'name': 'Bringatrailer.com'}","1999 Ferrari 360 Modena This 1999 Ferrari 360 Modena remained registered in California until 2025, and it has 51k miles following the seller's purchase in 2024. Finished in Argento Nurburgring with a partial black vinyl wrap, the car is powered by a 3.6-liter V8 paired with a six-sp…",POSITIVE,0.5226743817329407,0.5226743817329407,General / Other
2026-04-14T06:57:38Z,Why Verstappen is 'keystone' to driver market - F1 Q&A,BBC Sport F1 correspondent Andrew Benson answers your latest questions.,"{'id': None, 'name': 'BBC News'}",Why Verstappen is 'keystone' to driver market - F1 Q&A BBC Sport F1 correspondent Andrew Benson answers your latest questions.,POSITIVE,0.9165794253349304,0.9165794253349304,Verstappen
2026-04-13T09:00:00Z,The FAA takes a rare step to head off a traffic jam at Chicago's O'Hare Airport,"Federal regulators want airlines to cut the number of flights at O'Hare Airport in Chicago this summer. It's an unusual move, sparked by a turf war between two major airlines with hubs at the airport.","{'id': None, 'name': 'NPR'}","The FAA takes a rare step to head off a traffic jam at Chicago's O'Hare Airport Federal regulators want airlines to cut the number of flights at O'Hare Airport in Chicago this summer. It's an unusual move, sparked by a turf war between two major airlines with hubs at the airport.",POSITIVE,0.9133328795433044,0.9133328795433044,General / Other
2026-04-08T08:48:01Z,I'm a construction manager who vibe coded a paperwork tracker. My workers loved it — until I accidentally broke it.,Pawel Mniszak works in construction as a superintendent. He vibe coded a tool to manage the paperwork. It taught him a lesson in security.,"{'id': 'business-insider', 'name': 'Business Insider'}",I'm a construction manager who vibe coded a paperwork tracker. My workers loved it — until I accidentally broke it. Pawel Mniszak works in construction as a superintendent. He vibe coded a tool to manage the paperwork. It taught him a lesson in security.,NEGATIVE,0.9373596906661987,-0.9373596906661987,General / Other
2026-03-19T12:00:57Z,Where Racing Bulls is exploiting its F1 power unit better than Red Bull,"The first two races of the Formula 1 season have revealed an under-the-radar trend, one that offers a clearer picture of what had been hinted at in the Bahrain tests and of certain characteristics of the Red Bull power unit.As seen in Melbourne and confirmed …","{'id': None, 'name': 'autosport.com'}","Where Racing Bulls is exploiting its F1 power unit better than Red Bull The first two races of the Formula 1 season have revealed an under-the-radar trend, one that offers a clearer picture of what had been hinted at in the Bahrain tests and of certain characteristics of the Red Bull power unit.As seen in Melbourne and confirmed …",POSITIVE,0.9893689751625061,0.9893689751625061,General / Other
2026-03-25T20:05:18Z,15k-Mile 2001 Ferrari 360 Spider,"This 2001 Ferrari 360 Spider was delivered new to Foreign Cars Italia of Greensboro, North Carolina, and was later sold on BaT in March 2023, before being acquired by its current owner in 2025. Finished in Rosso Corsa over beige leather, the car is powered by…","{'id': None, 'name': 'Bringatrailer.com'}","15k-Mile 2001 Ferrari 360 Spider This 2001 Ferrari 360 Spider was delivered new to Foreign Cars Italia of Greensboro, North Carolina, and was later sold on BaT in March 2023, before being acquired by its current owner in 2025. Finished in Rosso Corsa over beige leather, the car is powered by…",POSITIVE,0.9819651246070862,0.9819651246070862,General / Other
2026-03-27T07:17:50Z,"4K UHD Digital Movies: Kill Bill Vol. 1, Heat, Sixth Sense, Ford v Ferrari $5 & More","Amazon has select 4K UHD Digital Movies (various titles) on sale for $4.99 each listed below.

Thanks to Deal Hunter phoinix for posting this deal.

Note: Some options may require you to click &qu","{'id': None, 'name': 'Slickdeals.net'}","4K UHD Digital Movies: Kill Bill Vol. 1, Heat, Sixth Sense, Ford v Ferrari $5 & More Amazon has select 4K UHD Digital Movies (various titles) on sale for $4.99 each listed below.

Thanks to Deal Hunter phoinix for posting this deal.

Note: Some options may require you to click &qu",NEGATIVE,0.9813814163208008,-0.9813814163208008,General / Other
